# ESTATE-BOARD 2026-09-15T08:58:14Z - one row per LIVE (non-archived) repo, canonical full_name identity.
# Disk-derived columns aggregate UNION over files / MAX over counts across a repo local checkouts, never SUM.
# Absence tokens: NO-LOCAL-CHECKOUT (no clone here, so origin/HEAD columns unmeasurable from this machine); n/a (field does not apply).
repo	checkouts	source	actions_enabled	allowed_actions	sha_pinning	verified_allowed	n_patterns	wf_files	wf_unsound	reusable_pinned	reusable_unpinned	unpinned_all_uses	sole_sound_copy	residue
hyperpolymath/-REPO-	2	census-n440	true	selected	true	true	92	27	0	7		90	0	clean
hyperpolymath/.git-private-farm	1	census-n440	true	selected	true	true	92	0	0	5		62	0	clean
hyperpolymath/.github	1	census-n440	true	selected	true	true	92	4	0	1		1	0	clean
hyperpolymath/007-lang	3	census-n440	true	selected	true	true	92	38	0	6		136	0	clean
hyperpolymath/0patch-lsa-sentinel	1	census-n440	true	all	true	n/a	n/a	10	0	3		0	0	clean
hyperpolymath/AcceleratorGate.jl	1	census-n440	true	all	true	n/a	n/a	11	0	3		0	0	clean
hyperpolymath/Axiology.jl	1	census-n440	true	selected	true	true	92	15	0	4		0	0	clean
hyperpolymath/Axiom.jl	1	census-n440	true	selected	true	true	92	21	0	6		0	0	clean
hyperpolymath/BowtieRisk.jl	1	census-n440	true	all	true	n/a	n/a	15	0	4		0	0	clean
hyperpolymath/Causals.jl	1	census-n440	true	all	true	n/a	n/a	15	0	4		0	0	clean
hyperpolymath/Cladistics.jl	1	census-n440	true	all	true	n/a	n/a	15	0	4		0	0	clean
hyperpolymath/Cliodynamics.jl	1	census-n440	true	selected	true	true	92	18	0	3		54	0	clean
hyperpolymath/Cliometrics.jl	1	census-n440	true	selected	true	true	92	15	0	3		46	0	clean
hyperpolymath/EchoTypes.jl	1	census-n440	true	all	true	n/a	n/a	5	0	2		0	0	clean
hyperpolymath/Exnovation.jl	1	census-n440	true	selected	true	true	92	16	0	4		0	0	clean
hyperpolymath/FirmwareAudit.jl	1	census-n440	true	all	true	n/a	n/a	11	0	3		0	0	clean
hyperpolymath/HOL	1	census-n440	true	all	true	n/a	n/a	9	0	3		1	0	clean
hyperpolymath/HackenbushGames.jl	1	census-n440	true	selected	true	true	92	15	0	4		0	0	clean
hyperpolymath/HardwareResilience.jl	1	census-n440	true	selected	true	true	92	11	0	3		0	0	clean
hyperpolymath/Hyperpolymath.jl	1	census-n440	true	selected	true	true	92	11	0	3		0	0	clean
hyperpolymath/InvestigativeJournalism.jl	1	census-n440	true	all	true	n/a	n/a	16	0	6		0	0	clean
hyperpolymath/JuliaForChildren.jl	1	census-n440	true	selected	true	true	92	14	0	0	0	0	0	clean
hyperpolymath/JuliaKids.jl	1	census-n440	true	all	true	n/a	n/a	16	0	6		30	0	clean
hyperpolymath/JuliaPackage-Reuse-Audit.jl	1	census-n440	true	all	true	n/a	n/a	21	0	4		3	0	clean
hyperpolymath/KnotTheory.jl	1	census-n440	true	selected	true	true	92	22	0	5		42	0	clean
hyperpolymath/LowLevel.jl	1	census-n440	true	all	true	n/a	n/a	11	0	2		0	0	clean
hyperpolymath/MacroPower.jl	1	census-n440	true	all	true	n/a	n/a	12	0	2		0	0	clean
